code,parent,urn,name#es,name#en,name#ca,name#eu,name#gl,description#es,description#en,description#ca,description#eu,description#gl
_T,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._T,Todas las universidades,,,,,,,,,
UNIVERSIDADES_PUBLICAS,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,Universidades Públicas,,,,,,,,,
064,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).064,Universidad Politécnica de Cartagena,,,,,,,,,
071,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).071,Universidad Internacional Menéndez Pelayo,,,,,,,,,
UNIVERSIDADES_PUBLICAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_NO_PRESENCIALES,Universidades Públicas No Presenciales,,,,,,,,,
028,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).028,Universidad Nacional de Educación a Distancia,,,,,,,,,
UNIVERSIDADES_PRIVADAS,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS,Universidades Privadas,,,,,,,,,
UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,Universidades Privadas Presenciales,,,,,,,,,
030,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).030,Universidad de Deusto,,,,,,,,,
031,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).031,Universidad de Navarra,,,,,,,,,
032,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).032,Universidad Pontificia de Salamanca,,,,,,,,,
033,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).033,Universidad Pontificia Comillas,,,,,,,,,
